Год,Тип клиента,Тип ТС,Разблокировка,Тариф/мин,Беспл. минут,Пример (30 мин),Пример (60 мин)
2020,Разовый,Классический,$2.50,$0.12,5,$5.50,$9.10
2020,Разовый,Электрический,$3.00,$0.18,5,$7.50,$12.90
2020,Абонент,Классический,$0.00,$0.12,60,$0.00,$0.00
2020,Абонент,Электрический,$0.00,$0.15,45,$0.00,$2.25
2021,Разовый,Классический,$2.80,$0.13,5,$6.05,$9.95
2021,Разовый,Электрический,$3.20,$0.19,5,$7.95,$13.65
2021,Абонент,Классический,$0.00,$0.13,60,$0.00,$0.00
2021,Абонент,Электрический,$0.00,$0.16,45,$0.00,$2.40
2022,Разовый,Классический,$0.90,$0.14,10,$3.70,$7.90
2022,Разовый,Электрический,$1.00,$0.35,5,$9.75,$20.25
2022,Абонент,Классический,$0.00,$0.14,60,$0.00,$0.00
2022,Абонент,Электрический,$0.00,$0.14,30,$0.00,$4.20
2023,Разовый,Классический,$0.90,$0.15,10,$3.90,$8.40
2023,Разовый,Электрический,$1.00,$0.38,5,$10.50,$21.90
2023,Абонент,Классический,$0.00,$0.15,60,$0.00,$0.00
2023,Абонент,Электрический,$0.00,$0.15,30,$0.00,$4.50
2024,Разовый,Классический,$0.90,$0.16,10,$4.10,$8.90
2024,Разовый,Электрический,$1.00,$0.40,5,$11.00,$23.00
2024,Абонент,Классический,$0.00,$0.16,60,$0.00,$0.00
2024,Абонент,Электрический,$0.00,$0.16,30,$0.00,$4.80
2025,Разовый,Классический,$0.90,$0.17,10,$4.30,$9.40
2025,Разовый,Электрический,$1.00,$0.42,5,$11.50,$24.10
2025,Абонент,Классический,$0.00,$0.17,60,$0.00,$0.00
2025,Абонент,Электрический,$0.00,$0.17,30,$0.00,$5.10
